-1	-0,9980469	0
-0,9980469	-0,9960938	0
-0,9960938	-0,9941406	0
-0,9941406	-0,9921875	0
-0,9921875	-0,9902344	0
-0,9902344	-0,9882813	0
-0,9882813	-0,9863281	0
-0,9863281	-0,984375	0
-0,984375	-0,9824219	1
-0,9824219	-0,9804688	0
-0,9804688	-0,9785156	0
-0,9785156	-0,9765625	0
-0,9765625	-0,9746094	0
-0,9746094	-0,9726563	0
-0,9726563	-0,9707031	0
-0,9707031	-0,96875	0
-0,96875	-0,9667969	0
-0,9667969	-0,9648438	0
-0,9648438	-0,9628906	0
-0,9628906	-0,9609375	0
-0,9609375	-0,9589844	0
-0,9589844	-0,9570313	0
-0,9570313	-0,9550781	0
-0,9550781	-0,953125	0
-0,953125	-0,9511719	0
-0,9511719	-0,9492188	0
-0,9492188	-0,9472656	0
-0,9472656	-0,9453125	0
-0,9453125	-0,9433594	0
-0,9433594	-0,9414063	0
-0,9414063	-0,9394531	0
-0,9394531	-0,9375	0
-0,9375	-0,9355469	0
-0,9355469	-0,9335938	0
-0,9335938	-0,9316406	0
-0,9316406	-0,9296875	0
-0,9296875	-0,9277344	0
-0,9277344	-0,9257813	0
-0,9257813	-0,9238281	2
-0,9238281	-0,921875	0
-0,921875	-0,9199219	0
-0,9199219	-0,9179688	3
-0,9179688	-0,9160156	1
-0,9160156	-0,9140625	0
-0,9140625	-0,9121094	0
-0,9121094	-0,9101563	3
-0,9101563	-0,9082031	0
-0,9082031	-0,90625	1
-0,90625	-0,9042969	1
-0,9042969	-0,9023438	0
-0,9023438	-0,9003906	1
-0,9003906	-0,8984375	0
-0,8984375	-0,8964844	1
-0,8964844	-0,8945313	0
-0,8945313	-0,8925781	0
-0,8925781	-0,890625	0
-0,890625	-0,8886719	0
-0,8886719	-0,8867188	2
-0,8867188	-0,8847656	4
-0,8847656	-0,8828125	1
-0,8828125	-0,8808594	1
-0,8808594	-0,8789063	0
-0,8789063	-0,8769531	1
-0,8769531	-0,875	1
-0,875	-0,8730469	3
-0,8730469	-0,8710938	1
-0,8710938	-0,8691406	0
-0,8691406	-0,8671875	0
-0,8671875	-0,8652344	1
-0,8652344	-0,8632813	0
-0,8632813	-0,8613281	2
-0,8613281	-0,859375	1
-0,859375	-0,8574219	0
-0,8574219	-0,8554688	0
-0,8554688	-0,8535156	1
-0,8535156	-0,8515625	3
-0,8515625	-0,8496094	4
-0,8496094	-0,8476563	1
-0,8476563	-0,8457031	1
-0,8457031	-0,84375	1
-0,84375	-0,8417969	0
-0,8417969	-0,8398438	3
-0,8398438	-0,8378906	2
-0,8378906	-0,8359375	3
-0,8359375	-0,8339844	0
-0,8339844	-0,8320313	0
